                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.63822,                0.45949,                 1.0161,                0.96366,                0.94458,                0.97226,                0.80616,                 0.6205,                0.37802,                 1.0884,              0.0082056,              0.0082056,              0.0082056
                     89,                0.66234,                0.46451,                 1.0402,                 0.9596,                0.96351,                0.96795,                0.80484,                0.63359,                0.41941,                 1.0903,               0.008185,               0.008185,               0.008185
                     90,                0.60874,                0.42128,                 1.0006,                0.94792,                0.96174,                0.97906,                 0.8198,                0.59085,                0.48024,                 1.0659,              0.0081644,              0.0081644,              0.0081644
                     91,                0.65475,                0.41503,                  1.012,                0.94135,                0.95909,                0.97745,                0.83176,                0.56986,                 0.4466,                 1.0644,              0.0081437,              0.0081437,              0.0081437
                     92,                0.63023,                0.43012,                 1.0163,                0.94213,                0.93641,                0.96964,                0.79428,                0.65474,                0.47738,                 1.1292,              0.0081231,              0.0081231,              0.0081231
                     93,                0.61972,                0.40713,                 1.0125,                0.95178,                0.91592,                0.94761,                0.79764,                0.63207,                0.42391,                 1.1034,              0.0081025,              0.0081025,              0.0081025
                     94,                0.64901,                0.44615,                 1.0108,                 0.8739,                 0.9288,                0.94461,                0.79291,                0.59809,                0.44648,                 1.1067,              0.0080819,              0.0080819,              0.0080819
                     95,                0.62197,                0.42772,                 1.0193,                0.94299,                0.91614,                0.94008,                0.80692,                0.55148,                0.40207,                 1.0547,              0.0080613,              0.0080613,              0.0080613
                     96,                0.60846,                0.41427,                0.99802,                0.92946,                0.92562,                0.95247,                0.80578,                0.57829,                0.40491,                 1.0453,              0.0080406,              0.0080406,              0.0080406
                     97,                0.61604,                0.40131,                0.99637,                0.95844,                0.96794,                 0.9757,                 0.8045,                0.59189,                0.37479,                 1.0568,                0.00802,                0.00802,                0.00802
                     98,                0.62719,                0.39114,                0.98618,                0.96229,                0.99055,                 0.9915,                 0.8273,                0.61761,                0.35986,                 1.0869,              0.0079994,              0.0079994,              0.0079994
                     99,                0.62182,                0.38376,                 1.0121,                0.95745,                0.98845,                  0.995,                0.80207,                0.66599,                0.35466,                 1.1275,              0.0079788,              0.0079788,              0.0079788
                    100,                0.58648,                0.38332,                0.99479,                0.96366,                0.98697,                0.99325,                0.80105,                0.70427,                0.35238,                 1.1368,              0.0079581,              0.0079581,              0.0079581
                    101,                0.58831,                 0.3954,                0.99323,                0.96271,                0.98424,                  0.995,                0.81887,                0.66135,                0.36421,                 1.1045,              0.0079375,              0.0079375,              0.0079375
                    102,                0.59005,                0.39559,                0.96818,                0.95947,                0.97641,                  0.995,                0.81889,                0.62844,                0.36755,                 1.0908,              0.0079169,              0.0079169,              0.0079169
                    103,                0.60706,                0.39913,                0.99677,                0.94981,                0.96191,                0.98975,                0.82145,                 0.5938,                 0.3591,                 1.0584,              0.0078963,              0.0078963,              0.0078963
                    104,                0.60392,                0.39867,                0.99446,                0.95653,                0.97632,                0.98291,                0.84071,                0.56175,                0.34256,                 1.0312,              0.0078756,              0.0078756,              0.0078756
                    105,                 0.6071,                0.42153,                0.98874,                0.95982,                0.97702,                0.99325,                0.85197,                 0.5532,                0.30891,                 1.0157,               0.007855,               0.007855,               0.007855
                    106,                 0.5897,                0.39165,                0.99293,                0.96453,                0.95618,                0.98464,                0.83199,                0.57615,                 0.3306,                 1.0266,              0.0078344,              0.0078344,              0.0078344
                    107,                0.60359,                0.39669,                 0.9997,                0.96931,                0.96963,                0.98742,                0.83348,                0.59444,                 0.3218,                 1.0334,              0.0078138,              0.0078138,              0.0078138
                    108,                0.60406,                 0.3948,                0.98808,                0.96821,                0.96917,                0.97873,                0.82299,                0.60108,                0.35142,                 1.0529,              0.0077931,              0.0077931,              0.0077931
                    109,                0.62504,                0.42158,                 0.9955,                0.96707,                0.96496,                 0.9778,                 0.8297,                0.58677,                0.33819,                 1.0598,              0.0077725,              0.0077725,              0.0077725
                    110,                0.62489,                0.42237,                0.98473,                0.95867,                0.95337,                0.97073,                0.82721,                0.58053,                0.38491,                 1.0612,              0.0077519,              0.0077519,              0.0077519
                    111,                0.61339,                0.41502,                 1.0139,                0.96385,                0.94949,                0.98742,                0.82417,                0.58413,                0.32865,                 1.0622,              0.0077313,              0.0077313,              0.0077313
                    112,                0.58517,                0.38751,                0.99162,                0.97233,                0.95121,                 0.9803,                 0.8264,                0.57606,                0.32517,                 1.0501,              0.0077106,              0.0077106,              0.0077106
                    113,                0.59523,                0.38184,                0.98772,                0.96875,                0.95622,                0.98012,                0.83629,                0.56131,                0.33836,                 1.0304,                0.00769,                0.00769,                0.00769
                    114,                0.56764,                0.39434,                0.97701,                0.94847,                0.98258,                0.98905,                0.83827,                0.57174,                0.33207,                 1.0397,              0.0076694,              0.0076694,              0.0076694
                    115,                0.58387,                0.39396,                 0.9835,                0.95717,                0.96876,                 0.9873,                0.82802,                 0.5961,                0.35419,                 1.0732,              0.0076488,              0.0076488,              0.0076488
